,Type,Category,Resource,End Use,Input Amount,Unit,Moisture,Previous Stage,Always Use Displacement Method for Co-Product?,Urban Share,Product Train,Payload,Payload Unit,Market Price,Market Price Unit,Incumbent Product,End Use of Incumbent Product,Surrogate For,Process,Note,Incumbent Resource,LHV,Density,BC,Biogenic CO2,CH4,CO,CO2,"Coal, Btu","Fossil fuels, Btu",N2O,NOx,"Natural gas, Btu",OC,PM10,PM2.5,"Petroleum, Btu",SOx,"Total energy, Btu",Urban BC,Urban CO,Urban NOx,Urban OC,Urban PM10,Urban PM2.5,Urban SOx,Urban VOC,VOC,Water consumption: gallons,Primary Unit,CO2 (w/ C in VOC & CO),GHG,Amount,"Total energy, Btu_Sum","Fossil fuels, Btu_Sum","Coal, Btu_Sum","Natural gas, Btu_Sum","Petroleum, Btu_Sum",Water consumption: gallons_Sum,VOC_Sum,CO_Sum,NOx_Sum,PM10_Sum,PM2.5_Sum,SOx_Sum,BC_Sum,OC_Sum,CH4_Sum,N2O_Sum,CO2_Sum,Biogenic CO2_Sum,CO2 (w/ C in VOC & CO)_Sum,GHG_Sum,Urban VOC_Sum,Urban CO_Sum,Urban NOx_Sum,Urban PM10_Sum,Urban PM2.5_Sum,Urban SOx_Sum,Urban BC_Sum,Urban OC_Sum
0,Input,Electricity,electricity,u.s. mix,0.0,mmBTU,0.0,,No,0.0,,,,,,,,,Algae growth,Algae growth in WWTPs. No energy is allocated to algae.,,,,0.4314302688983046,0.0,264.6263550777874,49.80816949272595,120183.90410917185,610146.0690337642,1595100.2772139744,2.393446663842404,89.20995797597102,958187.7220640706,2.13733672790991,13.192309126038818,7.550839763151128,26766.486116139466,76.08592280795361,2030788.9805523627,0.10240020503791009,11.05768625929,22.918189957298544,0.620860249510325,2.618413345879223,2.1973633648827646,22.526874763808962,1.0062353682490395,14.163040112750402,181.94958337414994,mmBTU,120306.31556482134,128879.3695830732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Input,Transportation,diesel,loaded,0.01732650015899811,mmBTU,,,,0.05,,,,,,,,,Algae transportation,,,42.62618130703188,846.9357752698452,0.20204745713796254,0.0,110.29678585633343,173.52748630219128,90868.85843040321,7940.273987246283,1176795.22293214,0.328986993305008,119.394576096186,122277.32447494021,0.3584648115611494,6.745489725996238,2.0335072601390864,1046577.6244699536,5.297997932477306,1182676.7825370138,0.05604000861492671,9.951342208939183,7.92412411045299,0.08001023458380925,0.7706110051069066,0.47529962156683486,1.0470922464099572,3.0561823561798427,13.179598910185991,22.784345691485484,mmBTU,91182.62089691006,94578.70602582589,0.01732650015899811,0.02049164946067094,0.02038974261724194,0.00013757715850251127,0.002118638081956915,0.018133527376782515,0.0003741725798176383,0.00021644003264174964,0.0028497297266352867,0.0019607399378090543,0.00011077681699029861,3.3394975124893815e-05,8.700559503029125e-05,3.318094770268391e-06,5.88683586230007e-06,0.001811332810179425,5.4027407097051136e-06,1.4922805177018432,0.0,1.4974332358501938,1.5532049464436484,5.018970709491566e-05,0.00016342445981928767,0.00013013276753044353,1.265524635734735e-05,7.805538416425545e-06,1.71957190454968e-05,9.203088331075395e-07,1.313956358080804e-06
2,Input,Transportation,diesel,empty,0.013751190602379457,mmBTU,,,,0.05,,,,,,,,,Algae transportation,,,42.62618130703188,846.9357752698452,0.21025846813796253,0.0,110.50397455633343,215.58934900219128,90797.48151040322,7940.273987246283,1176795.22293214,0.356795692305008,145.79372379618601,122277.32447494021,0.3737219145611494,8.160149385996238,2.2748519211390867,1046577.6244699536,5.297997932477306,1182676.7825370138,0.05645055916492671,12.054435343939184,9.24408149545299,0.08077308973380926,0.8413439881069067,0.4873668546168349,1.0470922464099572,3.131742951179843,14.69081081018599,22.784345691485484,mmBTU,91182.05113347936,94591.7212286302,0.013751190602379457,0.016263213857675356,0.016182335410509483,0.00010918822103373913,0.0016814587952039015,0.01439168839427184,0.0002969623649346336,0.00019147435612471524,0.0028099083380012896,0.0019002191064596435,0.00010635623654494117,2.9649541642532638e-05,6.905205954785021e-05,2.740427695016762e-06,4.870947144093402e-06,0.0014402661398869366,4.650337298252124e-06,1.183419318006321,0.0,1.188431649995007,1.232871973575652,4.081792849102004e-05,0.00015711285617587664,0.00012048378916424473,1.0965752706479139e-05,6.3521514156035e-06,1.3647396067854606e-05,7.3575479315887e-07,1.0527652659076869e-06
3,Input,Electricity,electricity,u.s. mix,0.0,mmBTU,0.0,,No,0.0,,,,,,,,,Algae growth,Algae growth in WWTPs. No energy is allocated to algae.,,,,0.4314302688983046,0.0,264.6263550777874,49.80816949272595,120183.90410917185,610146.0690337642,1595100.2772139744,2.393446663842404,89.20995797597102,958187.7220640706,2.13733672790991,13.192309126038818,7.550839763151128,26766.486116139466,76.08592280795361,2030788.9805523627,0.10240020503791009,11.05768625929,22.918189957298544,0.620860249510325,2.618413345879223,2.1973633648827646,22.526874763808962,1.0062353682490395,14.163040112750402,181.94958337414994,mmBTU,120306.31556482134,128879.3695830732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Input,Electricity,electricity,u.s. mix,1.3298486122304105,mmBTU,0.0,,No,0.0,,,,,,,,,Algae drying,Electricity for drying,,,,0.4314302688983046,0.0,264.6263550777874,49.80816949272595,120183.90410917185,610146.0690337642,1595100.2772139744,2.393446663842404,89.20995797597102,958187.7220640706,2.13733672790991,13.192309126038818,7.550839763151128,26766.486116139466,76.08592280795361,2030788.9805523627,0.10240020503791009,11.05768625929,22.918189957298544,0.620860249510325,2.618413345879223,2.1973633648827646,22.526874763808962,1.0062353682490395,14.163040112750402,181.94958337414994,mmBTU,120306.31556482134,128879.3695830732,0.0045376318268170145,0.00921497271170368,0.0072379777848507725,0.0027686182218548995,0.004347903103703222,0.00012145645929265016,0.0007825369817101519,6.091304226226722e-05,0.00021421722378553662,0.00038367821436256143,5.673807861405849e-05,3.247499251197935e-05,0.00032723377146917193,1.8555147760236291e-06,9.19235428265617e-06,0.0011381169736327688,1.0293843456382235e-05,0.5168923601124077,0.0,0.5174188328267404,0.5542902105516648,4.3276624950572815e-06,4.7557396227992554e-05,9.85675859370629e-05,1.1261390317890745e-05,9.450519552660423e-06,9.688459988822447e-05,4.404074243582544e-07,2.6702237878531297e-06
5,Input,Chemicals and catalysts,sulfuric acid,,9.980214437568675,g,0.0,,No,0.0,,,,,,,,,Fuel production,96% sulfuric acid.,,,,2.7655769875271043e-06,0.0,6.312638337842066e-05,4.0837657919094823e-05,0.04110786958670971,0.04648560844322763,0.5333594043814505,9.910298170036147e-07,0.0003194789288962703,0.1394143536356168,8.169389188024745e-06,2.1339186808930673e-05,1.937709747198445e-05,0.34745944230260606,0.0021510321389230074,0.566623382172317,1.5662485543207782e-07,3.039940831225767e-06,1.7869631031761375e-05,4.6137457863884076e-07,1.335891455083216e-06,1.2100049326248854e-06,9.131506199525169e-06,1.6475121459595702e-06,1.8086202631540442e-05,8.449909044033092e-05,g,0.0412284117140223,0.043384826116880874,9980.214437568675,0.0056550228594201505,0.005323041228020781,0.0004639363405242647,0.0013913851449584875,0.0034677197425380286,0.0007993122282332369,0.0001710849531084942,0.00038630048178078997,0.0030220847727345738,0.00020185629061861033,0.00018329606716845813,0.020347512417047523,2.616074910074731e-05,7.727766821106389e-05,0.0005971388555258086,9.374565420134411e-06,0.3888565269288545,0.0,0.38999678531360293,0.4103952108157128,1.5584506265877255e-05,2.8756071418545208e-05,0.00016903631179070766,1.2636755852352402e-05,1.1445942599258791e-05,8.637873531457974e-05,1.4815799973672766e-06,4.364335054735276e-06
6,Input,Chemicals and catalysts,mgo,,4.1007341293025625,g,0.0,,No,0.0,,,,,,,,,Fuel production,,,,,5.798117381155558e-06,0.0,0.001863156302317926,0.0004827549220442479,0.5657406282579752,0.009814155860263277,9.503799177990143,1.6828234446617456e-05,0.0006500114116178473,9.378991012112333,1.4054144835976559e-05,3.407957404214861e-05,3.331330013852727e-05,0.11499401001754572,9.75597884616637e-05,9.51083037220015,2.3228268777969273e-08,2.4727867949129857e-05,2.933430579780877e-05,4.519267072762338e-08,1.641754449949003e-07,1.4757230352518373e-07,1.3872089139278484e-06,5.317359900402382e-06,0.00011048894219065913,2.91512828878271e-05,g,0.5668436003386341,0.6271977715365256,4100.734129302563,0.039001386705288556,0.03897255364722182,4.0245243886476375e-05,0.03846074854179104,0.00047155986154431053,0.00011330363283713026,0.0004294424566735247,0.0018763457734636945,0.002526429269177971,0.00013245864888264684,0.00012948033683502023,0.0003791901198332607,2.253580967358931e-05,5.46248915515235e-05,0.007241615348742233,6.540707331384327e-05,2.1988901370771536,0.0,2.203177109425419,2.437758444315855,2.0667227447120383e-05,9.611094241492882e-05,0.0001140149964046666,6.381082579505373e-07,5.735760638695267e-07,5.3917287296370805e-06,9.028238129993947e-08,1.7565243323099727e-07
7,Input,Chemicals and catalysts,nacl,,4.095462200867002,g,0.0,,No,0.0,,,,,,,,,Fuel production,Surrogate for MgCl2,,,,1.1211156972976533e-05,0.0,0.0004559751778371682,0.00020719796655857878,0.22607654837045763,0.5041329576241402,3.0728681340416055,4.743039676885818e-06,0.0010111465275939799,1.5123986505927864,2.7441649209226465e-05,8.186157654359525e-05,7.181414584611474e-05,1.0563365258246789,0.0006040504774525063,3.228283645701594,5.250787724395197e-07,1.2115063110681093e-05,5.429503906602264e-05,1.47744245386557e-06,4.5871268362946176e-06,4.127637074668425e-06,3.370754460241541e-05,5.13175653661166e-06,6.09869931935839e-05,0.0005613605245482774,g,0.22659222130383633,0.24152838215332612,4095.4622008670017,0.013221313644647998,0.012584815291216111,0.0020646574721609524,0.006193971506145016,0.004326186312910141,0.0021790607666374658,0.00023673621199186374,0.000804290540768211,0.00392501722377926,0.00031776610919476454,0.00027876450313062855,0.0023447724571380793,4.351889960215083e-05,0.00010652159984311621,0.0017699812814323823,1.841129046760729e-05,0.8775724605988295,0.0,0.8795741735950303,0.9375526040119178,1.992019182657033e-05,4.7027636528353086e-05,0.00021075972441600408,1.7806075923494707e-05,1.6022451909253694e-05,0.0001308442342680066,2.0382241044430956e-06,5.735061062182283e-06
8,Input,Chemicals and catalysts,ht catlysts (htl),,0.03781871229045978,g,0.0,,No,0.0,,,,,,,,,Fuel production,Hydrotreating main bed catalyst and HT guard bed catalyst,,,,1.5318842808204928e-05,0.0,0.0061328558194932515,0.0014693271978995994,2.9906430499306933,8.283588175594423,34.52390482255924,5.3785118551802877e-05,0.0021147683414910615,25.563238243896706,4.8671821414560816e-05,0.0002509671910339609,0.00016834887068156192,0.6770784030681135,0.001068026742857316,39.48358613284205,1.2077314328142093e-06,0.00016456545833869036,0.0003069560191928841,7.138395735703039e-06,3.0078814732100025e-05,2.5260747782024848e-05,0.00025816714070547186,2.0190630291135156e-05,0.00035843366297351307,0.002206120380597078,g,2.9940691109198503,3.1923078419208757,37.81871229045978,0.001493218384153541,0.0013056496236275848,0.00031327463794546007,0.0009667687523584079,2.5606233323716944e-05,7.907887715320523e-05,1.2848134603690334e-05,5.266836116582113e-05,7.580434293390558e-05,8.995974944888675e-06,6.034502822509169e-06,3.8283656838296955e-05,5.491073375748603e-07,1.744652295639055e-06,0.00021983358488205835,1.927939572126825e-06,0.10720026723589281,0.0,0.10732307515628725,0.11442898668936262,7.237376466312022e-07,5.898885563127843e-06,1.1002906979455668e-05,1.0781818236364774e-06,9.054771390635555e-07,9.25405874692879e-06,4.329140261318426e-08,2.558773874804809e-07
9,Input,Process fuel,natural gas,smr,3.5766715250435723,mmBTU,0.0,,No,0.0,,,,,,,,,Fuel production,,,47.1418136613636,0.776922656678549,0.09919204253941645,0.0,216.3581589274852,32.17406715068586,65548.59318094673,1078.803337210547,1103489.8564912428,1.4196658578962942,37.473363544307055,1098380.2978773597,0.1432516783934472,1.289226685802326,1.2150736920383414,4030.7552766725985,11.13988183632931,1104261.0062578535,0.002231271697115761,2.8819918997729506,3.413104976807311,0.0046019256206910625,0.014744396414821812,0.013427139205902293,0.15341177314260698,0.5983747642739086,10.980841652930494,3.211633491944839,mmBTU,65633.37605247801,72500.33227264507,0.15981218677808312,0.17647436618383408,0.17635112705329864,0.00017240592042311133,0.17553455731774315,0.0006441638151323454,0.00048647488327507583,0.0016632980303542065,0.004873493691254351,0.00567619256738476,0.00019528268187009288,0.0001840505256865468,0.001687388280642428,1.5024889184026406e-05,2.16987223791873e-05,0.032772360349910816,0.00021504065897989209,9.928824162696264,0.0,9.941666455453314,10.98182304058031,9.063745733596315e-05,0.0004365431723632805,0.0005169923185078166,2.233373933498973e-06,2.033845391851986e-06,2.323769963781844e-05,3.3797680872734325e-07,6.970662233972981e-07
10,Input,Water,water,,245.85694384173252,gal,0.0,,No,0.0,,,,,,,,,Fuel production,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,gal,0.0,0.0,64.94854689272381,0.0,0.0,0.0,0.0,0.0,0.06155934483726507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Input,Electricity,electricity,u.s. mix,14.730837998833723,mmBTU,0.0,,No,0.0,,,,,,,,,Fuel production,,,,,0.4314302688983046,0.0,264.6263550777874,49.80816949272595,120183.90410917185,610146.0690337642,1595100.2772139744,2.393446663842404,89.20995797597102,958187.7220640706,2.13733672790991,13.192309126038818,7.550839763151128,26766.486116139466,76.08592280795361,2030788.9805523627,0.10240020503791009,11.05768625929,22.918189957298544,0.620860249510325,2.618413345879223,2.1973633648827646,22.526874763808962,1.0062353682490395,14.163040112750402,181.94958337414994,mmBTU,120306.31556482134,128879.3695830732,0.05026370575150254,0.10207497976187778,0.08017565097802334,0.030668202479349076,0.04816206571653094,0.0013453827821433121,0.008668223886277445,0.0006747385749996206,0.002372901088983434,0.004250033851580572,0.0006284921732760183,0.00035972805423691403,0.0036247943043494013,2.0553683568690704e-05,0.00010182443363879075,0.012607011511023362,0.00011402571612042151,5.7256574542572425,0.0,5.73148923405106,6.139916394153673,4.7937858897635155e-05,0.0005267970301566362,0.001091840926118456,0.0001247433090419626,0.00010468415070311092,0.0010731983568728063,4.878427786471247e-06,2.9578279570879044e-05
12,Main Product,Process fuel,renewable diesel,fuel distribution and vehicle operation,1.0,MJ,0.0,,No,0.0,,,,,,renewable diesel,light duty vehicle,,Fuel production,,Renewable Diesel,44.29194981685399,793.3785652594686,0.512313874561484,-76614.52662473112,0.11248755052026857,993.9965251892313,75019.63859776103,8.091262010739515,1199.1725344773329,0.18912102284679677,27.521187334987346,124.60248498831356,0.07700219938083619,9.46628136858897,1.8944508672117086,1066.4787874782799,0.005398741840887656,1001250.3090024699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.36675879086487,0.023217600680931635,mmBTU,76707.44286890897,146.40794174785543,1.0,1.0012503090024698,0.001199172534477333,8.091262010739513e-06,0.00012460248498831356,0.00106647878747828,2.2006039472632312e-05,0.03826030516855091,0.9421269264458667,0.026085052592227556,0.008972303569132355,0.00179559296999463,5.1170199576521524e-06,0.000485579862489255,7.298400305617583e-05,0.00010661762646998125,0.0001792521437104934,71.10489799924908,-72.61656017994794,72.70462778715361,0.13876795408305204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Co-product,Chemicals and catalysts,nitrogen,,-2.344658939428023,g,0.0,,Yes,0.0,,,,,,nitrogen,,,Fuel production,Nitrogen in struvite,Nitrogen,,,5.5064408959888964e-05,0.0,0.01050411604590809,0.007082372512987257,3.025827529594965,1.3094902516073141,58.98360293183894,0.002006482389241156,0.006636163910941962,52.32777968594104,0.00013718072237800421,0.001307726776939439,0.0010693295671762044,5.346332994290581,0.005584329312890403,59.91974408970298,2.341539787277498e-06,0.00017425707589598558,0.0003743789254770935,6.729504335640692e-06,2.1876473057176617e-05,1.9208984839695272e-05,0.0001578326566476003,4.655458161958195e-05,0.0062040686567382385,0.005097827512649886,g,3.0562929860955412,3.9031343006216903,-2344.6589394280227,-0.14049136362816153,-0.13829643189380908,-0.0030703080245249397,-0.12269079642106175,-0.012535327448222399,-0.01132894230120299,-0.013787350723515269,-0.01573921231272722,-0.014747599415992718,-0.002906171533839134,-0.0023763795337226803,-0.012410099090184116,-0.00012237007046795123,-0.00030485780164223665,-0.023343379962139196,-0.0044590216439624256,-6.7243203916003536,-0.0,-6.792024015941977,-8.673966150456197,-0.00010345861403041776,-0.0003872528745829996,-0.0008319852397892725,-4.861625867167643e-05,-4.26882785605415e-05,-0.00035075275810514655,-5.20362234308883e-06,-1.495503057821971e-05
14,Co-product,Chemicals and catalysts,p2o5,,-11.875225311428798,g,0.0,,Yes,0.0,,,,,,p2o5,,,Fuel production,P in struvite,P2O5,,,6.281629928113825e-05,0.0,0.004479126534530526,0.0023767403603346744,1.8656888381642496,2.163786734406076,27.68007234257048,4.318287303740355e-05,0.006342079905025718,18.983121758092206,0.0001384465768977587,0.001398563171678643,0.0011023100446641545,6.533163850072196,0.014622443754029444,29.226475858183772,2.6907087561252384e-06,0.0001090336568096634,0.0003368512104380131,8.183450645994806e-06,2.702203671489133e-05,2.384977075713408e-05,0.00019778305848322815,3.5515149979386286e-05,0.0015369575444769657,0.012931339474403905,g,1.8742139002203,2.0200311576111276,-11875.225311428798,-0.3470709858749666,-0.32870709570467316,-0.025695454996952895,-0.2254288479916313,-0.07758279271608895,-0.145549233092371,-0.01729929001840454,-0.026751500677182852,-0.07138354601347914,-0.015741586358627706,-0.012407096878746254,-0.16458352814478436,-0.0007070314876635768,-0.001558291245204638,-0.05041499632076279,-0.000486046636217401,-20.999338863642414,-0.0,-21.09529305669249,-22.736545304912987,-0.0003997422581699329,-0.001227232891172307,-0.003791442908334115,-0.00030414766608140775,-0.00026844209372128787,-0.002226155499040011,-3.0285385106789867e-05,-9.210917151556088e-05
